VersionID,best_epoch,val_loss,batch_size,n_layers
0,81,1.2962263262750184e-08,4096,1
1,143,3.726871611320348e-08,4096,2
10,47,0.02355325222015381,4096,12
11,101,3.0139840418996755e-06,4096,13
12,5,5.268550376058556e-05,4096,14
13,100,2.7193061669095187e-06,4096,15
14,99,4.074635853612563e-06,4096,16
15,103,5.525157575902995e-06,4096,17
16,195,3.1686242891737493e-06,4096,18
17,36,0.023553285747766495,4096,19
18,2,0.023561133071780205,4096,20
3,199,1.0277511819367646e-07,4096,3
4,199,6.341809353216377e-07,4096,4
5,199,4.111239775284048e-07,4096,5
6,98,1.3848018625139957e-06,4096,9
7,199,1.2913253613078268e-06,4096,7
8,199,1.9360127225809265e-06,4096,8
